market,week_idx,eval_start,eval_start_ts,method,revenue,soc_end,score,pf_score,value_capture,theta,sigma_stat,mu_eff,q,mask_violations
CISO,88,23544,2025-10-28 08:00:00,pf,13256.81875,0.0,13256.81875,13256.81875,1.0,0.1238763071164848,8.595567182452065,-1.0045428756099488,38.42033242465753,0
CISO,89,23712,2025-11-04 08:00:00,pf,8810.01525,16.25,9435.75113332192,9435.75113332192,1.0,0.1039999783659543,9.137138877405867,0.4131862251490892,38.5068235890411,0
CISO,90,23880,2025-11-11 08:00:00,pf,3277.9949999999994,5.0,3471.029776307077,3471.029776307077,1.0,0.0969448165254274,9.473824446537678,-0.2478336370974984,38.60695526141552,0
CISO,91,24048,2025-11-18 08:00:00,pf,6601.187999999999,0.0,6601.187999999999,6601.187999999999,1.0,0.079124845022498,10.74304734385876,1.4327415760941953,38.736123489726026,0
CISO,92,24216,2025-11-25 08:00:00,pf,4856.124249999998,2.5,4952.905760993149,4952.905760993149,1.0,0.1065211760777748,9.071263956850204,2.6261291523129384,38.71260439726027,0
CISO,93,24384,2025-12-02 08:00:00,pf,4990.459500000001,5.0,5184.250120507992,5184.250120507992,1.0,0.1198197435610185,8.69968727654775,3.482492053729772,38.75812410159818,0
CISO,94,24552,2025-12-09 08:00:00,pf,3851.8152500000015,5.0,4045.7861025913257,4045.7861025913257,1.0,0.0889386071971848,9.938491543024906,2.3937617237920223,38.79417051826484,0
CISO,95,24720,2025-12-16 08:00:00,pf,3341.9762500000006,5.0,3535.1322343264846,3535.1322343264846,1.0,0.0916169443941423,9.953286755336562,-2.8692213731286054,38.63119686529681,0
CISO,96,24888,2025-12-23 08:00:00,pf,7673.804249999998,20.0,8442.131069748857,8442.131069748857,1.0,0.0667329557267888,11.60279827644425,-5.478983726614037,38.41634098744293,0
CISO,97,25056,2025-12-30 08:00:00,pf,2603.981000000001,16.25,3225.241781037387,3225.241781037387,1.0,0.0623306079188115,12.020040050160564,-8.980069188839396,38.231432679223744,0
CISO,98,25224,2026-01-06 08:00:00,pf,14565.96525,0.0,14565.96525,14565.96525,1.0,0.061962154317625,11.973237490976908,-5.454135078685468,38.13414343835617,0
CISO,99,25392,2026-01-13 08:00:00,pf,11559.014500000005,97.5,15254.42352550514,15254.42352550514,1.0,0.0501554787335982,13.374847198294066,-7.694963407911291,37.90163103082192,0
CISO,100,25560,2026-01-20 08:00:00,pf,11642.908499999998,0.0,11642.908499999998,11642.908499999998,1.0,0.0430465451820245,14.466490917148414,-7.023989539907454,37.366084787671234,0
CISO,101,25728,2026-01-27 08:00:00,pf,9578.367750000005,100.0,13306.350369977172,13306.350369977172,1.0,0.043983642513071,14.631275488313362,6.830984844733661,37.27982619977169,0
CISO,102,25896,2026-02-03 08:00:00,pf,12158.116249999995,0.0,12158.116249999995,12158.116249999995,1.0,0.0487503900631106,14.164472000859986,-0.9685787259538056,37.04486292237444,0
CISO,103,26064,2026-02-10 08:00:00,pf,5177.715750000001,20.0,5910.817707853883,5910.817707853883,1.0,0.0534860221246018,13.288252768082913,-5.271473117998758,36.65509789269407,0
CISO,104,26232,2026-02-17 08:00:00,pf,10097.6275,22.5,10916.895012748288,10916.895012748288,1.0,0.0604828971571989,12.101837200473591,-0.9642462307757528,36.41188945547945,0
CISO,105,26400,2026-02-24 08:00:00,pf,8779.183250000004,93.75,12175.831145976032,12175.831145976032,1.0,0.0637214426627589,11.559412063615335,-1.2862577031187392,36.23091089041096,0
CISO,106,26568,2026-03-03 08:00:00,pf,18794.91325,93.75,22171.610469178075,22171.610469178075,1.0,0.0640638127731092,11.38534754782716,-5.076854969606569,36.01810367123287,0
CISO,107,26736,2026-03-10 08:00:00,pf,24437.302750000003,0.0,24437.302750000003,24437.302750000003,1.0,0.0705023573699882,10.657781044165583,-6.003955121461063,35.58907714383562,0
